id,keys,game
2305180001,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [2], [2], [], [], [], [3], [3], [], [], [], [], [], [], [], [], [], [], [], []]",celest
2305180007,"[[2], [], [], [], [], [3], [3], [], [], [], [], [0], [0], [0], [0], [0, 4], [0, 4], [0, 4], [0, 4, 5], [0, 4, 5], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [0, 4], [], [], [], [], [], [], [3], [3, 4], [3, 4], [3], [], [], [], [], [3], [3], [3]]",celest
2305180012,"[[], [3], [3], [4, 3], [4, 3], [4, 3], [], [], [], [3], [3], [3], [3], [], [], [], [], [3], [4, 3], [4, 3], [0, 4, 3, 5], [0, 4, 3, 5], [0, 4, 3, 5], [0, 4, 3, 5], [0, 4, 3, 5], [0, 4, 3, 5], [0, 4, 3], [0, 4, 3], [0, 4, 3], [4, 3], [], [], [], [], [], [3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [2], [2]]",celest
2305180018,"[[0, 4, 2], [0, 2], [], [], [], [], [], [], [], [3], [3], [], [2], [2], [2], [0, 2], [0], [3], [3], [], [4], [], [], [], [], [], [3], [], [0], [], [], [], [], [], [0, 4], [0, 4], [0, 4], [0, 2, 4], [0, 2, 4], [0, 2], [0, 2], [0, 2, 4], [0, 2, 4], [0, 3, 2, 4], [0, 3, 4]]",celest
2305180023,"[[0, 5, 3, 4], [0, 5, 3, 4], [0, 5, 3, 4], [0, 5, 3, 4], [0, 5, 3, 4], [0, 4], [0, 4], [0, 4], [0], [], [], [], [], [], [], [], [3], [3], [4, 3], [4, 3], [4, 3], [], [], [], [], [], [], [], [3], [3], [], [3], [4, 3], [4, 3], [4, 3], [3], [3], [], [], [], [], [4], [3, 4], [3, 4], [3, 4]]",celest
2305180028,"[[4], [4], [2, 4], [0, 2, 4], [0, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 3, 2, 4], [0, 3, 2, 4], [0, 3, 2, 4], [0, 3, 2, 4], [0, 3, 2, 4], [0, 3, 2, 4], [0, 3, 2, 4], [3, 2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [3], [3], [3], [3], [3], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [3], [3], [4, 3]]",celest
2305180034,"[[3], [], [], [], [], [4], [3, 4], [3, 4], [3, 4], [3, 4], [3], [3], [3], [], [3], [3], [4, 3], [4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 4, 3], [], [], [], [], [], [], [], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [3], [], [], []]",celest
2305180039,"[[4], [3, 4], [3, 4], [3, 4], [3, 4], [3], [], [], [], [], [4, 2], [4, 2], [4, 2], [4, 2], [2], [], [], [], [], [], [], [], [2, 4], [2, 4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [0, 3, 2, 4, 5], [0, 3, 2, 4, 5], [0, 3, 4, 5], [0, 3, 4, 5], [0, 3, 4], [0, 3, 4], [4], [], [2], [2], [], [], [], [], [4, 2], [4, 2], [0, 4, 2], [0, 4, 2]]",celest
2305180045,"[[4], [], [], [], [], [], [], [], [], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [4, 3], [3], [3], [], [2], [2], [4, 2], [2], [2], [2], [], [4, 3], [4, 3], [4, 3]]",celest
2305180050,"[[3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [0, 4, 3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 4, 3], [0, 4, 3], [4], [4, 3], [], [2], [2], [2], [2], [2], [2], [], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3]]",celest
